Country,Regiune,Nume Regiune,TIP,Judet,Niv,Nat Level,Nat Lev Name,Sirsup,Cnt Id,Cnt Name,Cnt Abbr,Rang,Siruta,Denloc,Nume Uat,Codp,FS2,FS3,FSJ,FSL,Fictiv,Area Sqm Uat,Perimeter M Uat,Latitude Uat,Longitude Uat,Pop 1Ian2020,Count of siruta_uat_pop.csv
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,22059,Coţofaneşti,Coţofăneşti,0,4,,4,4.50749E+11,,66670709.53,53172.3593,46.12644222,26.95610537,3615,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,22111,Damieneşti,Dămieneşti,0,4,,4,4.50832E+11,,39246063.86,31811.72957,46.74361942,27.00599255,1826,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,22237,Dealu Morii,Dealu Morii,0,4,,4,4.50844E+11,,70770799.65,60519.01941,46.28509702,27.29247541,2685,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,22380,Dofteana,Dofteana,0,4,,4,4.50896E+11,,174504522.8,82758.33248,46.29546791,26.48197437,11193,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,22460,Faraoani,Faraoani,0,4,,4,4.5098E+11,,38851957.49,35452.25752,46.43395902,26.89097583,5371,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,22488,Filipeni,Filipeni,0,4,,4,4.51007E+11,,74033131.84,47611.82974,46.53965387,27.18552529,2148,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,22576,Filipeşti,Filipeşti,0,4,,4,4.51008E+11,,69231591.7,58925.14299,46.76586086,26.88616523,4584,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,22665,Gaiceana,Găiceana,0,4,,4,4.51065E+11,,74146529.59,47668.81791,46.36070713,27.20992219,2769,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,22718,Ghimeş-Faget,Ghimeş-Făget,0,4,,4,4.51104E+11,,164852707.3,70635.3898,46.62241662,26.0693754,4746,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,22781,Gîrleni,Gârleni,0,4,,4,4.51138E+11,,35900985.93,33976.19497,46.65702198,26.78322656,7063,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,22834,Glavaneşti,Glăvăneşti,0,4,,4,4.5114E+11,,67557421.96,57562.36763,46.26029243,27.37671505,3191,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,22898,Helegiu,Helegiu,0,4,,4,4.51244E+11,,78874267.98,52893.418,46.34916975,26.78141521,6478,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,22941,Horgeşti,Horgeşti,0,4,,4,4.5127E+11,,59574155.03,47171.68477,46.40491603,27.05760041,5700,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,23047,Huruieşti,Huruieşti,0,4,,4,4.51283E+11,,55654084.59,55078.48266,46.26065844,27.23335178,2233,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,23127,Izvoru Berheciului,Izvoru Berheciului,0,4,,4,4.51353E+11,,57832646.71,45308.16479,46.58764946,27.22215966,1585,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,23207,Lipova,Lipova,0,4,,4,4.51421E+11,,54450519.98,44276.10216,46.72052871,27.22913384,3145,1
